Summary,Description,Analysis
'SBD Production request report' source email,"*Affected system* 

Environment: sbdconnect.io 

*Description of the Problem:* 

Customer has got an email with subject 'SBD Production request report' from 'no-reply@cumulocity.com'. They wanna know where this email is originating from?  The source email is cumulocity.com, which is different than their root domain (sbdconnect.io). 


{code:java} 
-----Original Message----- 
From: no-reply@cumulocity.com <no-reply@cumulocity.com> 
Sent: Saturday, October 15, 2022 5:00 PM 
To: zz_CRP_uiot-prod <uiot-prod@sbdinc.com> 
Subject: SBD Poduction request report 

< ***CAUTION: EXTERNAL MESSAGE*** > 



================================================================================================ 
Name: Request Statistics Report 
Date: Sat Oct 15 09:00:01 UTC 2022 
Report Date: 20221014 
Hostname: jumphost-virginia 
PWD: /root 
Script Path: /opt/scripts 
Command: /opt/scripts/https://urldefense.com/v3/__http://nginx-req-stats_prod.sh__;!!JCruJraw!Ps_vND20ZPflhKiiIpewxqKKew3OJUswApKk8zc_BXuqNMTWSvfyv-8Sn0xRbFywJcpqfO52uzdSDTmPhLPpaA$ 
Excluded Requests: (GET / |/cep/realtime) Nginx Access Log: /opt/scripts/temp_prod/lb1_access.log-20221013_16 /opt/scripts/temp_prod/lb2_access.log-20221013_16 
Log File: /opt/scripts/nginx-req-stats_prod.log 
Output File: /opt/scripts/output/nginx-req-stats_prod-report-20221014.txt 
================================================================================================ 



------------------------------ 
| Top most expensive request | 
------------------------------ 




------------------------- 
| Ranked by User Agents | 
------------------------- 




-------------------------- 
| Ranked by IP Addresses | 
-------------------------- 




----------------------- 
| Count Unique Visits | 
----------------------- 

0 



---------------------------- 
| Ranked by Response Codes | 
---------------------------- 




--------------------------------------------- 
| Ranked by Response Code - 404 (Not Found) | 
--------------------------------------------- 




----------------------------------------------- 
| Ranked by Response Code - 502 (Bad Gateway) | 
----------------------------------------------- 




----------------------- 
| Most requested URLs | 
----------------------- 

{code} 


*Any idea from where this email is generated? and how can we disable it?*",Ticket
Delete Eaton Subtenant from EMEA instance,"*Affected system* 

SAG Cloud region: EMEA instance 
Enterprise Tenant Name: eatonnubisnet 
Enterprise Tenant URL: https://management.dashboard.nubisnet.net/ 

*Description of the Problem*: 

Customer has requested to delete the following eaton tenant which is the sub-tenant of 'eatonnubisnet': - 

• *Test-Sup-tent1 - t133833316 - qws.dbt.machinery-monitoring.com*",Ticket
Can't edit Inventory job or re-enable previously disabled one,"Trying to edit an inventory offload gives a {{Timeout}} when attempting to validate the schema. This is affecting editing columns as well as simply just re-enabling a previously disabled job. 

From chat: 
Mohd Shahmi Abdul Majid 
,Yesterday 6:19 PM 
@Allan Eha : can you create ticket for this and we will check from our end 
  
  
it seem this issue happened randomly as upon checking last week by Bartosz, seems fine 
 ",Incident
"Change primary Admin user for Cumulocity Enterprise Tenant ""https://sag-dach.cumulocity.com""","*Affected system* 

Tenant ID: t74484347 
Tenant URL: https://sag-dach.cumulocity.com/ 

*Description of the Problem:* 

Currently the primary Admin user for the enterprise tenant 

t74484347 

https://sag-dach.cumulocity.com 

is ""sebastian.buettner@softwareag.com"". 

Sebastian has left the company; therefore, could you please change the admin to following user in the UI? 

Admin Name: Christof Strack 
Admin Email: christof.strack@softwareag.com 

Please see screenshot attached for more clarity. 
",Ticket
CLONE - Command failed : exceeded memory limit,"Hi R&D, 

on a machines.cloud tenant during data upload an errpr message pops up stating that some memory limit got exceeded. The screen shot is attached. 

A check with Ops cleared out an issue with disc space already. 

Can you elaborate which limit is hit here and how to fix this issue? 

  

Tenant: agria.machines.cloud 

  

best regards 

Michael",Incident
Upgrade of our (LwM2M) instance to 10.18.230.0,"* *Customer ITron* 
* 
*Tenant Name:* 
envd417247 
* 
*Tenant URL:* 
[https://envd417247.c8y.sag.idealabs.cloud/apps/administration] 

Can you please upgrade our (LwM2M) instance to (dev) version: 10.18.230.0 

 ",Ticket
CLONE - Increase in Core and Agent CPU utilization at 14:00 UTC on 11th March,"From Akshay Rajeshwar / Telstra: 

As communicated over email, we observed a CPU spike for a short time for platform Core at 14:00 UTC on March 11. 

 Also, during the same time, we observed a spike in CPU utilization for LWM2M Agent 1 as well. 

We observed high CPU utilization for both Core and LWM2M Agent 1, which results in the disconnection of the client, and it reconnects after some time, so this is a bit unusual this time! 

 During that time, we have also noticed multiple exceptions: “{*}ERROR 1098{*} — [CoapServer(main)#2555] c.l.l.s.e.h.Lwm2mRegistrationHandler: Failed to execute on registration updated operations on listener.” 

 As Oezge mentioned, she has observed some errors in LWM2M agent logs, so please investigate this issue and suggest further. 

 Attaching the ongoing email, which has all screenshots and details for your reference. 

 ",Incident
[Jemena Prod] Request logs - Device status is shown as disconnected despite device is online,"*Necessary iTrac information (Please remove those items not applicable)* 
*Affected system* 

SAG Cloud region: __{_}APJ{_}____ Domain ___{_}telstra.com{_}____ Version __{_}10.11{_}____ 
System Usage (Choose one of: Production / Test / Development): __{_}Production{_}_ 
Time Zone: __{_}AEST{_}____ 

*Affected tenant* 

Tenant: Jemena 
Enterprise Tenant? Yes 
System accessible by R&D? No 

*Device:* 
* Device manufacturer and type: ___{_}LwM2M{_}__ 

*Time period error was observed:* 
* Start: ongoing. 
* Repeatability? seen in last days 
* Frequency - All the time 

*Description of the Problem:* 

Create this iTrac to Ops team to collect logs for iTrac [IOT-17584|https://itrac.eur.ad.sag/browse/IOT-17584] . 

Need to collect Lwm2m service log as well as logs from c8y-agents-1011.0.17/lwm2m-agent/server/src/main/java/com/cumulocity/lwm2m/agent/server/service/operation/DeviceSubscriptionServiceImpl.java#L68 

  

Btw. R&D already have access to this tenant via Jakub's account, but this user does not have permission to see logs from Microservice.  

  

*Customer issue:* 

In end customer (jemena) product tenant (tenant name: {*}Jemena, version 10.11.0.17{*}), it is recently observed that the devices are showing the push connection as “{*}inactive{*}” and connection status as “{*}Disconnected{*}” despite device is online and doing continuous registration updates. See attached screen shot ( Jemena Prod 10.11.png ) 

{*}Note{*}: In Jemena dev tenant ({*}t188211358, version 10.15.0.386{*}), customer was not seeing the above behavior. Device status is shown as “{*}Connected{*}” and push connection as “{*}Active{*}” which makes sense (See attached screen shot ""Jemena Dev 10.15.PNG""). 

  

No device impact reported by the customer. However, end customer would like to have clarifications for below queries. Although 10.11 is out of support, end customers of Telstra are still using 10.11. 
* Why does the device shows the push connection as “{*}inactive{*}” despite device being connected on 10.11? In the attached screen shot of 10.11, latest updated time is {*}June 5th 10:42{*}, while push connection is 'Inactive'. 
* Why does the device shows the status connection as “{*}Disconnected{*}” despite device being connected doing continuous registration updates? 
* Whether push connection and device connection status are related to each other? 
* Any device impact is expected to be observed due to the above behavior on 10.11?",Incident
CLONE - SSO issue on https://phios.cumulocity.com | Error: header cannot be null,"Customer tenant https://phios.cumulocity.com (Tenant ID: t725154470) was configured with SSO before and now they suddenly get an error like ""Could not load OAuth 2.0 configuration"" with detail information ""header cannot be null"". 

When we go to SSO Config settings in c8y as error occurs, saying that it ""Could not load OAuth 2.0 configuration"" with detail information ""header cannot be null"". 

This issue seems to happen due to this change. 

https://cumulocity.atlassian.net/browse/MTM-41054 

Is there anyway we can bring back the SSO config for https://phios.cumulocity.com? 
Tenant ID: t725154470 

...",Incident
Need lwm2m agent log from Itron env,Need lwm2m agent log from Itron env from today 1- August.,Incident
Add valid license for 'syntegon.cumulocity.com' (t1394552929),"Customer: Syntegon Packaging Systems 
Tenant ID: t1394552929 
Tenant URL: syntegon.cumulocity.com 
Admin Email: hansruedi.wanner@syntegon.com 
Domain: *.cumulocity.com 

Please add the license for customer's enterprise tenant 'syntegon.cumulocity.com' (t1394552929) in order to activate their custom domain '*.synexio.syntegon.com'. Please refer the attached screenshot.",Ticket
Telstra- Issue with SMS Gateway?,"Could you please have a look and investigate the health of the SMS gateway in Prod and Dev environment? 

Since yesterday at 2022-10-25 13:07:19 we first started seeing issues whereby users were not receiving the SMS code to log into the platform. 

There was a downstream network issue which was thought to be impacting the RCS /SMS Gateway in our network, however that has since been resolved and the problem still persists. 

The team have also tested the RCS API endpoint and have successfully received SMS code which so far indicates RCS platform is fine. 

  

Given we’ve verified RCS platform health, we’ll raise a crisis incident to get this investigates ASAP as it’s impacting customer’s ability to log in. 

Interesting error regarding no more endpoints to try in the unsuccessful log below. 

  

From the sms pod, below is an example of a successful vs unsuccessful case: 

  

*Successful SMS* 

  

2022-10-25 06:49:07.054  INFO 14 — [http-nio-80-exec-3] c.s.g.c.OutgoingMessageSecuredController : Starting send SMS message from tel:+61*****{*}753 to [tel:+61{*}*****147] recipients 
2022-10-25 06:49:07.057  INFO 14 — [http-nio-80-exec-3] c.c.s.g.p.BaseProviderFactoryBean        : Return provider for option telstra 
2022-10-25 06:49:07.275  INFO 14 — [http-nio-80-exec-3] c.s.g.c.OutgoingMessageSecuredController : Successfully sent SMS message with comarch provider from tel:+61*****{*}753 to [tel:+61{*}*****147] recipients 

  

*Unsuccessful SMS* 

  

2022-10-25 13:07:19.588  WARN 14 — [http-nio-80-exec-3] .c.s.g.p.t.TelstraOutgoingMessageService : No more endpoints to try, sms won't be send 
2022-10-25 13:07:51.215  INFO 14 — [http-nio-80-exec-7] c.s.g.c.OutgoingMessageSecuredController : Starting send SMS message from tel:+61*****{*}753 to [tel:+61{*}*****921] recipients 
2022-10-25 13:07:51.215  INFO 14 — [http-nio-80-exec-7] c.c.s.g.p.BaseProviderFactoryBean        : Return provider for option telstra 
2022-10-25 13:07:51.241  WARN 14 — [http-nio-80-exec-7] .c.s.g.p.t.TelstraOutgoingMessageService : Error while invoking Telstra SMS service for endpoint [https://free.rcs.telstra.com/messaging/v1/sms/outbound/acr%3Acumulocity/requests] 

  

Snapshot from Garylog logs, many of these from 25^th^ Oct, 13:07 AEDT. 

!Snag_48727b6.png|thumbnail!",- Incident
Request logs for issue that Telstra failed to upload microservice zip file,"*Necessary iTrac information (Please remove those items not applicable)* 
*Affected system* 

SAG Cloud region: ___APJ____ Domain _____telstra.com____ Version ___10.15.0.278____ 
System Usage (Choose one of: Production / Test / Development): __Development__ 
Time Zone: __AEDT___ 

*Affected tenant* 

Tenant: management 
Enterprise Tenant? Yes 
System accessible by R&D? No 

*Microservice:* 
* Customer microservice. Yes 

*Time period error was observed:* 
* Start: ongoing. 
* Repeatability? Intermittent (seen 2 times in last 3 tests). 
* Frequency - All the time 

*Description of the Problem:* 

While uploading the latest zip file for exiting microservice on Cumulocity UI portal in the Administration >  *Ecosystem* > {*}Microservices{*}“. 

Below two errors observed: 
# Initially it will try to upload the zip file but after some time we are getting the error ""A server error occurred"" as notification. this is intermittent error sometimes. User is not able to upload successfully. It occurred 2 times out of 3 retries. Tested on another server the same error appeared. 
# 10.15.0.278 version doesn’t has zip uploading percentage. 

Have created iTrac [IOT-17067|https://itrac.eur.ad.sag/browse/IOT-17067] to R&D.  

Need to collect: 
* logs of all core instances capturing the period of a failed microservice upload 
* logs of the kube registry capturing the period of a failed microservice upload 

Since Telstra is operated by Ops team, create this iTrac to ask for above logs file. 

----------- 

Customer tried to replicate the upload error on the UI to capture the timestamp( in {*}Sydney time{*}). 

*upload start time* - 21-04-2023T20:45pm and *upload failed/end time* - 21-04-2023T21:00 pm. 

Kindly help capture platform logs for above timestamp.",Incident
Administrators deleted.,"Customer has deleted Administrators of oilconditionsoftware.cumulocity.com (tenant id oilconditionsoftware). 

  

Can we re-instate an Admins account so they can access to tenant and correct the situation? 

  

Defined administrator (in management.cumulocity.com)  is 'ben.fisher@tandeltasystems.com' with a userid of 'admin'. 

  

!image-2023-11-28-11-17-35-770.png|width=805,height=640!",Incident
Delete a group - sporadically the group is not deleted.,"Device management, delete a group sometimes does not delete the group. 
Although Dev tools shows a 'clean' execution and expected 204 response and UI shows 'asset deleted' the group does not disappear from the list of groups, and can be clicked and viewed.

It can be deleted a second time!

 

See attached files.",Incident
Scheduled Upgrade for Prod Cumulocity Instance to 10.13,"Customer has requested that their instance needs to be upgraded. 

Casen Sigel 
[Casen.Sigel@bsci.com|mailto:Casen.Sigel@bsci.com] 

  
I would like to get it on schedule for our prod instances of Cumulocity to be upgraded to 10.13 

The options for dates are: 

Monday, January 9th 2023 

Tuesday, January 10th 2023 

Wednesday, January 11th 2023",Ticket
ISC Require Dremio Admin Credentials for Managing Multi-Tenant Analytics on their 3 environments,"Industrial Scientific:   requires Dremio Admin Credentials for Managing Multi-Tenant Analytics on their 3 environments.   

PROD  [https://management.na.inet.com|https://management.na.inet.com/] 

DEV  [management.na-dev.inet.com|http://management.na-dev.inet.com/] 

QA  [https://management.na-qa.inet.com/] 

  

Below list of users for Dev & QA that need admin rights: 
Witherspoon, Daniel [daniel.witherspoon@indsci.com|mailto:daniel.witherspoon@indsci.com] 
Persson, Greg J [gpersson@indsci.com|mailto:gpersson@indsci.com] 
Punugupati, Venkatesu [venkatesu.punugupati@indsci.com|mailto:venkatesu.punugupati@indsci.com] 
Diwevedi, Vachaspati [vachaspati.diwevedi@indsci.com|mailto:vachaspati.diwevedi@indsci.com] 
ISC SRE [SRE@indsci.com|mailto:SRE@indsci.com] 
  

Prod only - ISC SRE [SRE@indsci.com|mailto:SRE@indsci.com] 

 ",Ticket
MQTT Secure Connection uses wrong certificate,"From customer... 

  

I have a problem when I try connecting over mqtts to a tenant of ours (e.g. [procomdev.clouver.de|http://procomdev.clouver.de/]) then I get the following error: 

{{Error [ERR_TLS_CERT_ALTNAME_INVALID]: Hostname/IP does not match certificate's altnames: Host: procomdev.clouver.de. is not in the cert's altnames: DNS:*.cumulocity.com, DNS:cumulocity.com}} 

it looks like the certificate for cumulocity is used instead of the *.clouver certificate that we had sent to you . 

When trying to connect to “[procom.cumulocity.com|http://procom.cumulocity.com/]” with the procomdev credentials it works by the way. 

How can this be fixed?",Incident
Alarms notifications not being received by users,"Customer complains they are getting no emails from their environment ([https://industrials.cas.irco.com/)] 

  

Ops chat... 

  


This is old Gardner-Denver iirc 
​ 


and they have been complaining about missing emails since we upgraded them to 10.15... 
​ 


They have a test tenant on EU-latest with their custom UI - do we know if Daniel P and Philipp E has finished their testing? 
​ 


/var/log/maillog on core3 is not happy 
​ 


Aug 24 09:18:12 gardnerdenver-core03 postfix/error[32206]: 42D4260141: to=<root@management.cas.irco.com>, relay=none, delay=0.02, delays=0.01/0.01/0/0, dsn=4.4.1, status=deferred (delivery temporarily suspended: connect to 52.58.146.111[52.58.146.111]:25: Connection timed out) 
​ 


And 52.58.146.111 is cepfra 
​ 
 ",Incident
Upgrade SBD environment to 10.16.,Upgrade SBD environment to 10.16.,Ticket
"iTron: change baseURL and Install new certificates, keys (2FA reqd)","For browser 2FA to work, we understand that we need to have certificate-based DNS names associated with our Cumulocity instance and associated tenants.  We have added the attached DNS entries and have associated certificates/keys that we understand need to be installed on our C8Y instance by your devops team. See attached certificates, keys and DNS names that we plan to use. 

07.06.2022 
we need to change the baseURL of the platform to sag.idealabs.cloud - that's what the new ssl certs are for. 

and the new C8Y license key is: 
c8y.licence=38746609a027255fe13654248bcca0f1e9d5f4d2fe89f2f64d8b13048ee094034d129a4810b4f61ead6a4c9aa72cfcde16d0ea20e7cd5943ddd6b1f874fb44a5 
",Ticket
Need lwm2m-agent logs from cumulocity.com,"Hi, 
1) due to a LWM2M issue I need lwm2m-agent logs from cumulocity.com from 30/07/21 
Please assign them directly to https://itrac.eur.ad.sag/browse/IOT-11713 
2) Please let me know the version of the lwm2m-agent if it is not stored in the log. 

I have to test an issue on cumulocity.com for a customer. 
A1 environment is not affected!",Ticket
"""Deployment was changed"" - ""Container stopped""","on 2022-02-24 at around 13:00 UTC+1 these containers were stopped , redeployed and started on [eppendorfag.emea.cumulocity.com|http://eppendorfag.emea.cumulocity.com/]: 

asset-organization - started even 2 times at 13:07 and 13:10 

eai-registration - 13:07 

Since we do not have access to the containers log files: can you please investigate and share with us the reasons of the deployments? 

 Can you please include the recent restart of the notification sender today 2022-02-24 15:59 UTC+1 in the analysis?",Incident
Adamos: Multiple applications not working on cloud instance,"Customer has ** a very important demo 21.12. 1pm CET but our demo system which runs in the cloud is not able to demonstrate Apama streaming analytics or any Machine Learning application. Both are very critical for our demo and there is a serious risk to our business at this point. 

Comment Herzog, Christian 

Multiple applications not working on cloud instance management.adamos.com 
I can see that microservices have issues: 

e.g. Zementis-small: 
[https://management.adamos.com/apps/administration/index.html#/microservices/2592/status] 

and also Apama-ctrl-1c-4g: 
[https://management.adamos.com/apps/administration/index.html#/microservices/7210/status] 

 ","Incident  
Ticket"
unify microservice failed to fetch the data from datalake,"platform Name: solenis-azure-prod.eastus.cloudapp.azure.com 
Address: 20.81.29.242 
Aliases: cloud.iot.solenis.com 

Instance is unify-scope-t478071 

messages from screenshot 
nit ORDER BY ""timewith0ffset"" DESC LIMIT seee 
[http nio-8e exec-ll] c.s.c.u.api.unifiecmeasurementsservice 
Dremio response: 
2e22-12-23 ERROR 13 
status Code: 92; response body 

{""error"": ""Microservice/Bad gateway"", ""message"" : ""Microservice not available Connection refused : Connection for request 443880762e2S7b79sgee1793Seaa4øea already closed"" , ""info"" :""https://b.m•/.cumulocity.com / guides/reference-guide/#a-name-error-reporting-a-error-reporti ng""} 


[httpnio-8e exec-2] c.s.c .u.api.Unifiedt•kasurementsService 
: Dremio response: status 
2e22-12-23 ERROR 13 
code: 592; response body {""error"" gateway"" ""message"" : ""Microservice not available Connection refused : 

Hello, 
We have paid for this unify microservice which is developed by the SAG professional services. 
From yesterday microservice is throwing an error where it fails to fetch the data from the datalake, and due to this our production environment been affected and dashboards are not getting data to trend. 
I’ve attached the error from the logs. 
Thanks, 
Saif 
+91 9431810480",Incident
CLONE - [Gardner Denver] CEP issues in GD tenant,"Tenant: https://industrials.cas.irco.com/apps/cockpit/index.html

For logging to the tenant, use sysadmin crendentials.

Customer reported the below issue:-

We sent to Daniel Primm an email describing the issue we are experience with alarms forwarding.
We identified more than 5,000 smart rules caused by CEP overload.

Could you please let us know why the users can create Smart Rules? We thought, after previous updates, that this feature is no longer available for users. 

There are several reasons that could to lead to the overload:

- Slow Smartrules as you mentioned
- Increase of traffic (I saw that additional compressors were added)
- General issue of the CEP container

Also, is it possible to make disable the creation of Smart Rules by the users from now on?

------------------------------------

Internal Inputs from Tomislav:


This is the issue: 

2021-10-14 12:38:00[qtt-messaging-68] - industrials/device_iconn-sn-A10WKL | RaiseAlarmQueueRejectionCallback | 105 - com.nsn.cumulocity.shared-components.common-utils - 1007.0.32 | WARN cep-queue for key industrials is full, rejecting 1 elements from 50000

grep -i cepServer.queue.limit /etc/cumulocity/*
/etc/cumulocity/cumulocity-core-default.properties:cepServer.queue.limit=250000
/etc/cumulocity/cumulocity-core.properties:cepServer.queue.limit = 500000

Default and old limit for queue is 250000. now it's increased to 500000.

There are 5 active tenants on GD and cep queue is devided. it was 250k in total and deviced by 5 -> was 50k for industrial tenant. Now it will be 100k. If we still see rejecting we can increase the queue a bit more - also need to keep in mind for core memory as now it has only 32 GB (16 GB for heap). Also, good way would be to delete not-needed tenants. there is one from Daniel and probably not needed.

--> [root@gardnerdenver-core01 ~]# tailf /var/log/cumulocity/error.log | grep -i reject
2021-10-14 13:01:01[qtt-messaging-76] - industrials/device_iconn-sn-A10NGH | RaiseAlarmQueueRejectionCallback | 105 - com.nsn.cumulocity.shared-components.common-utils - 1007.0.32 | WARN cep-queue for key industrials is full, rejecting 1 elements from 166666

We now have start of rejecting. Now queue for industrials tenant is 166666.

com.espertech.esper.client.hook.EPLMethodInvocationContext@39bbc723] for statement 'durable:smartRule9537976564:GetRuleConfiguration': ThresholdRuleConfigException : Invalid threshold rule configuration. Rule: 9537976564 message: Rule device DataPoint yellow range and red range not present. At least one range must be present.",Incident
Request for investigating the increasing SIM data during C8Y updates.,"Micro Technologies reported the below: 

Dear OPS team, 

They found out that the amount of daily SIM data transmission was dramatically increased during the Day1 C8Y update to Day3 C8Y update. They found this from the management console provided by the SIM service vendor - SORACOM Inc. 

The target subtenants are cumonosu.com prod environment) 

(1) takenaka_kizai 
(2) aktio_crane 

About the timetable for C8Y updates such as DAY1, DAY2 and DAY3 

DAY1 -> 2021/1/28 C8Y 9.16.4 to 10.5.7 
DAY2 -> 2021/3/18 C8Y 10.5.7 to 10.6.0 
DAY3 -> 2021/3/25 C8Y 10.6.0 to 10.6.6 

Before DAY1 and after DAY3 are same level of data transmission at SIM cards.---(A) 
After DAY1 and before DAY3 are about 3 to 10 times bigger data transmission everyday compared with (A). We didn't touch any gateways at all during the C8Y updates. 

Could you investigate why does this enlargement data transmission at SIM cards happen during the C8Y updates, please? 

Additional incident information: 
Product Version: 10.6.6 
",Ticket
Lyreco - URGENT - All machines are offline since 10 December,"Customer reported the below after the log4j exploit on Friday. No data can be transmitted currently, therefore they would like to get this investigated on priority and resolve. 

---------------------- 
Unfortunately we had to notice that since Friday night no data was processed in the system and the machines are therefore displayed as offline. 

No events were processed and also no sales data was played into our SAP. 

This is a very urgent issue that has to be fixed. 

At the same time, *you must check whether the data that was not processed by the system will be processed later or whether we have to expect revenue losses.* 

We from our side have to state that currently no data from our devices are processed by the VendMe system and thus a great risk of revenue losses is to be expected. 

Best Regards, 
Angelo Sebben 
---------------------- 

--> As of now, support has informed customer about the current status of the actions taken due to log4j exploit.... 


+Latest update from customer+: - 

We still have to note that the VendMe system is currently not working correctly. 

Sales from our vending machines are not logged / VendMe app is not working correctly or not at all. 

Currently I have to say that the system in this form is not usable for our business. 

I hope that soon a solution is in sight and that at the same time the in the meantime delivered unprocessed sales data will still be submitted and processed in the platform....","- Incident  
- Incident  
- Ticket  
- Ticket"
APAMA is not working after Cumulocity IoT Maintenance on Prod,"{*}Affected System{*}: 

+Parent Tenant:+ 

Tenant ID: t134917764 
Tenant URL: acciona.cumulocity.com 

Apama MS subscribed: Apama-ctrl-smartrulesmt 
Apama version: 25.122.0 

+Subtenant:+ 

Tenant ID: t195481554 
Tenant URL: zeroiot.cumulocity.com 

{*}Problem Description{*}:  

Customer is facing a problem in APAMA after the intervention carried out in Cumulocity yesterday on 21st May. 

There are several OOM and Apama Connectivity errors in logs as below. 

+Correlator Errors:+ 
2024-05-22 11:28:15.293 INFO [139984082489344] - -XX:+HeapDumpOnOutOfMemoryError 
2024-05-22 11:28:19.378 INFO [139982378362624] - Added type com.apama.cumulocity.Error 
2024-05-22 11:28:30.649 ERROR [139978800592640:CumulocityLongPollingTransport-scheduler-1] - <connectivity.ApamaConnectivityForCumulocityIoT.CumulocityIoT> Error when subscribing channel: /alarms/*, error: 402::Unknown client 
2024-05-22 11:28:35.056 ERROR [139978782713600:CumulocityLongPollingTransport-scheduler-3] - <connectivity.ApamaConnectivityForCumulocityIoT.CumulocityIoT> Error when subscribing channel: /managedobjects/*, error: 402::Unknown client 

  

Please investigate it and resolve as soon as possible. 

Note: Customer confirmed the issue happens in all subtenants of Acciona.",Incident
Delete tenant t401727098,"*Necessary iTrac information (Please remove those items not applicable)* 
*Affected system* 

SAG Cloud region: EMEA 

Customer: Eppendorf SE 7517606 

*Description of the Problem:* 

Hi, the customer has asked us to delete the tenant *t401727098* 

The tenant is on *EMEA instance*",Incident
Apama logs from tenant: https://servicehub.iot.hillrom.com,Need Apama logs 7 December 2022 for tenant: [https://servicehub.iot.hillrom.com|https://servicehub.iot.hillrom.com/] if possible.,Ticket
"""Node is not ready"" error in Apama-ctrl-starter in customer subtenant","*Affected system* 

Tenant URL: https://ifm-customer-ca.io-key.ifm/ 
Version: 10.15.0.278 

Username: support 
Password: ru8R/93M?2wOl) 

Apama-model: RBCC-23F-DCW LD 
https://ifm-customer-ca.io-key.ifm/apps/streaminganalytics/index.html#/analyticsmodels/models/95080019 

*Description of the Problem:* 

In one of the Autosen’s c8y sub-tenant “https://ifm-customer-ca.io-key.ifm/; one of their Apama starter model ""RBCC-23F-DCW LD"" is not working since January 19th, 2023. 
There’s an alarm “*Node is not ready*” since the same day. On the same day, there was an update of C8Y to 10.15: https://status.cumulocity.com/incidents/xqy6v4r1wr5j 

Cockpit version: 
Backend: 1015.0.218 
UI: 1011.0.12 

*Is this an Apama issue or could be related to UI mismatch or anything else?* 


We’ve found that the Apama UI and backend are both 10.15, only the cockpit is still 10.11 which should not be a problem, should it? Either way, customer is using the same configuration on several subtenants and they are not facing any problems. 

What we can see is that data points generated in the Apama model are missing. e.g. on January 19th, 13:00. They start appearing later. The missing data points correspond to the “node not ready” alarm message. 
What is the reason for the “node is not ready” alarm? 

What is the reason for 116 alarms “node is not ready”? Last one was on 19.02.2023, 20:16:09 without any user action. There’s definitely something wrong. 

Please see the diagnostics logs attached.",Incident
Deploy 'Report-agent' microservice to 'https://management.machines'cloud',"After the upgrade to 10.10.0.12 on machines.cloud, 'Report-agent' microservice is totally missing and wasn't deployed. 

Therefore, customer gets the below error while accessing the Export section in Cockpit. 

{ 
""message"": ""Microservice reporting not found."", 
""error"": ""microservice/Not Found"", 
""info"": ""https://www.cumulocity.com/guides/reference-guide/#a-name-error-reporting-a-error-reporting"" 
} 

I confirmed with R&D - this issue is occurring due to missing 'Report-agent' microservice. 

Please deploy 'Report-agent' microservice to 'https://management.machines.cloud/' and all its subtenants......",Ticket
Apama component is down,"tenant [https://aifluxtrack2.apj.cumulocity.com|https://aifluxtrack2.apj.cumulocity.com/] 
SAG Cloud region: APC _________________ Domain .apj.cumulocity.com Version __________________ 
*Affected tenant* aifluxtrack2.apj.cumulocity.com 
Tenant:  [aifluxtrack2|https://aifluxtrack2.apj.cumulocity.com/] 
Enterprise Tenant? not specified. 
System accessible by R&D? Not known 
*Application: Apama* 

*Microservice:* 
* (URL in ""Own applications""):  apama 
* Microservice origin:  SAG 
* Cumulocity product microservice. Version 10.11 
* GCS custom microservice. Author/Contact _______________ 

Apama component is down on the C8Y tenant ([https://aifluxtrack2.apj.cumulocity.com/|https://eur04.safelinks.protection.outlook.com/?url=https%3A%2F%2Faifluxtrack2.apj.cumulocity.com%2F&data=05%7C01%7CSubodh.Kumar%40softwareag.com%7C15b7ce2e15b04c8563d408dacde08e06%7Cd9662eb9ad984e74a8a204ed5d544db6%7C1%7C0%7C638048661576371622%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=h%2FmQYYVo1%2Ff0NNrcVZDMg%2F6EmOErBD1jwHoSuj9e8Z8%3D&reserved=0]). Can you pls urgenly look into this and provide the required assistance to get the component up and running. We have Business Users validating the solution in the next 30 mins and without the Apama component, the solution is broken. Appreciate your prompt response. ",Incident
[Gardner Denver] CEP engine overload,"*Affected system* 

Gardner Denver - Ingersoll Rand: https://industrials.cas.irco.com/ 

*Description of the Problem:* 

Please offer us support and restart the CEP engine. Yesterday afternoon a new overload event occurred.",Incident
How to login to Tenant URL,"There needs to be a change to the defined administrator for tenant t334450491 mki.emea.cumulocity.com. 
  
Please make the Administrator [takanashi-tatsuya@mki.co.jp|mailto:takanashi-tatsuya@mki.co.jp] 
  
Tatsuya Takanashi 
  
Phone: +81- 80 6518 3121",Ticket
Microservice log Cloud-remote-access from iot.greenflex.com needed,"Hello, 

please download Microservice log Cloud-remote-access from iot.greenflex.com from Dec 14 12:30-12:40 UTC 

I found no way to to this in Graylog. If there is a way, please let me know it. 

Thanks, Christian.........",Ticket
